id_colaborador,id_departamento,id_cargo,salario,faixa_salarial,turnover,motivo_desligamento,faltas,absenteismo_pct,dias_afastamento,tipo_afastamento,horas_extras,banco_horas,sla_recrutamento,nota_desempenho,engajamento,horas_treinamento,promovido,ferias_pendentes
47,5,1,6021,R$6.000-10.000,Não,,0,3.55,5,INSS,31,14,27,3.4,70,38,Não,16
48,6,6,13769,R$10.000-15.000,Não,,3,3.73,15,Acidente,44,-8,22,2.8,78,17,Não,2
49,7,5,3189,R$3.000-6.000,Não,,3,2.99,2,Acidente,48,32,55,1.6,92,14,Não,8
50,7,4,2470,Ate R$3.000,Não,,1,3.04,15,INSS,11,22,43,2.5,67,25,Não,8
51,7,9,9263,R$6.000-10.000,Não,,1,0.63,2,INSS,4,-17,23,3.8,60,36,Não,1
52,2,9,8199,R$6.000-10.000,Não,,1,3.28,5,Acidente,28,-4,59,3.5,64,39,Não,12
53,2,4,2580,Ate R$3.000,Não,,0,3.66,5,Licença Médica,2,6,47,2.8,75,6,Não,4
54,3,1,5756,R$3.000-6.000,Sim,Desligamento sem Justa Causa,2,3.01,10,Licença Médica,22,9,16,3.2,67,9,Não,8
55,9,7,23353,Acima de R$15.000,Sim,Fim de Contrato,1,2.68,0,,14,40,21,3.6,66,6,Não,28
56,7,5,2999,Ate R$3.000,Não,,2,3.91,10,INSS,31,7,38,3.9,88,20,Não,14
57,2,9,8607,R$6.000-10.000,Não,,1,1.65,10,Acidente,56,29,16,2.7,92,2,Não,28
58,7,4,2400,Ate R$3.000,Sim,Fim de Contrato,1,1.87,0,,2,-3,39,2.7,96,17,Não,13
59,9,2,9139,R$6.000-10.000,Não,,2,3.78,0,,44,-8,39,3.4,64,32,Não,12
60,7,5,2558,Ate R$3.000,Não,,5,5.39,0,,37,-5,13,3.6,86,5,Não,25
61,8,6,11306,R$10.000-15.000,Não,,2,3.07,2,Acidente,40,7,19,2.4,68,34,Não,28
62,7,9,9994,R$6.000-10.000,Não,,4,3.51,5,Licença Médica,6,30,21,3.4,84,2,Não,12
63,2,4,2401,Ate R$3.000,Não,,2,3.43,2,INSS,25,38,34,3.4,79,27,Não,1
64,3,3,4099,R$3.000-6.000,Não,,2,1.36,15,Acidente,39,26,46,4.1,78,11,Não,4
65,8,7,23262,Acima de R$15.000,Não,,0,3.11,2,INSS,27,30,23,3.9,66,11,Não,9
66,10,1,4807,R$3.000-6.000,Não,,1,3.48,0,,42,-13,38,3.4,49,31,Não,5
67,3,1,5313,R$3.000-6.000,Sim,Desligamento sem Justa Causa,3,3.74,0,,54,-19,59,3.2,87,5,Não,30
68,9,1,5350,R$3.000-6.000,Não,,2,2.81,5,INSS,12,37,16,4.3,84,14,Não,20
69,10,8,3127,R$3.000-6.000,Sim,Fim de Contrato,1,1.02,0,,48,13,57,4.2,93,36,Não,14
70,2,9,8827,R$6.000-10.000,Não,,1,3.45,5,Licença Médica,22,40,13,3.8,73,26,Não,28
71,8,6,14654,R$10.000-15.000,Não,,2,5.18,2,INSS,41,33,10,3.6,75,12,Não,22
72,6,8,4403,R$3.000-6.000,Não,,1,2.96,0,,8,15,19,4.1,78,32,Não,22
73,2,9,9556,R$6.000-10.000,Não,,3,3.01,5,Acidente,43,20,58,3.4,100,10,Não,6
74,10,1,5207,R$3.000-6.000,Não,,0,3.65,2,Licença Médica,25,11,30,3.1,93,7,Não,5
75,2,9,10883,R$10.000-15.000,Não,,1,5.37,0,,57,21,39,2.3,80,15,Não,11
76,10,9,10621,R$10.000-15.000,Não,,1,2.56,2,INSS,44,20,30,3.6,71,1,Não,26
77,7,4,2138,Ate R$3.000,Não,,3,3.93,10,Acidente,51,-14,23,3.0,74,8,Não,14
78,2,5,2580,Ate R$3.000,Não,,1,3.17,0,,34,0,43,3.2,84,3,Não,24
79,7,4,1959,Ate R$3.000,Não,,1,3.32,2,INSS,31,-10,59,2.7,65,30,Não,23
80,7,9,10292,R$10.000-15.000,Não,,0,2.23,2,Licença Médica,20,31,44,2.9,82,6,Não,26
81,2,5,2441,Ate R$3.000,Sim,Fim de Contrato,0,3.31,5,INSS,60,-4,44,1.4,61,10,Não,30
82,2,9,9672,R$6.000-10.000,Não,,2,1.63,0,,3,-11,59,3.8,78,39,Não,20
83,4,6,14456,R$10.000-15.000,Não,,3,2.12,15,Licença Médica,58,-10,24,2.9,74,18,Não,6
84,8,6,13376,R$10.000-15.000,Sim,Desligamento sem Justa Causa,4,3.64,10,Acidente,4,29,19,3.6,75,20,Não,3
85,7,5,3184,R$3.000-6.000,Não,,2,3.78,0,,52,0,44,3.6,77,31,Não,29
86,3,3,3569,R$3.000-6.000,Não,,1,4.54,10,INSS,46,3,53,2.6,65,12,Não,21
87,2,4,2028,Ate R$3.000,Não,,2,2.75,15,Acidente,2,4,19,2.4,80,20,Não,13
88,2,9,10806,R$10.000-15.000,Sim,Desligamento sem Justa Causa,2,3.9,0,,47,3,44,4.0,84,25,Não,4
89,6,9,10959,R$10.000-15.000,Não,,2,2.17,15,Licença Médica,20,25,28,2.6,78,21,Não,23
90,10,1,4975,R$3.000-6.000,Não,,3,3.84,2,INSS,52,6,24,4.0,84,5,Não,14
91,4,6,14986,R$10.000-15.000,Não,,2,1.33,0,,25,-11,14,3.5,84,35,Não,5
92,6,9,9772,R$6.000-10.000,Sim,Pedido de Demissão,1,3.75,10,INSS,49,7,23,3.2,63,9,Não,15
93,10,9,9686,R$6.000-10.000,Sim,Desligamento sem Justa Causa,0,2.14,0,,5,27,16,3.0,61,20,Não,9
94,4,1,6836,R$6.000-10.000,Não,,1,2.89,0,,57,1,58,3.4,94,16,Não,1
95,7,5,2770,Ate R$3.000,Não,,1,2.82,0,,9,-1,35,4.0,87,3,Não,13
96,6,6,15869,Acima de R$15.000,Não,,0,1.5,5,Licença Médica,20,-16,60,3.6,74,10,Não,23
97,7,4,2158,Ate R$3.000,Não,,1,3.93,10,INSS,20,-13,46,2.5,53,31,Não,27
98,4,3,3723,R$3.000-6.000,Não,,0,2.57,0,,5,4,12,3.1,74,32,Não,3
99,6,9,7981,R$6.000-10.000,Não,,2,2.71,2,Licença Médica,4,0,44,3.3,83,33,Não,8
100,6,9,8089,R$6.000-10.000,Não,,1,6.2,2,Acidente,56,-20,17,2.1,76,22,Não,30
101,10,1,5145,R$3.000-6.000,Não,,3,2.52,5,INSS,37,14,28,3.1,83,29,Não,30
102,7,4,1972,Ate R$3.000,Não,,1,3.23,0,,23,17,45,2.9,80,39,Não,16
103,7,4,1915,Ate R$3.000,Não,,4,3.69,0,,24,-1,46,2.8,59,2,Não,11
104,7,4,2458,Ate R$3.000,Não,,2,3.44,0,,8,36,38,3.7,83,3,Não,22
105,2,5,2772,Ate R$3.000,Não,,2,1.62,0,,21,28,44,2.8,56,39,Não,13
106,2,4,2217,Ate R$3.000,Sim,Desligamento sem Justa Causa,3,3.35,0,,48,38,48,3.1,65,40,Não,6
107,2,9,8952,R$6.000-10.000,Não,,0,1.85,2,Acidente,10,6,55,3.0,84,22,Não,29
108,7,9,10449,R$10.000-15.000,Não,,4,1.78,15,INSS,19,30,18,3.5,63,38,Não,27
109,7,5,3174,R$3.000-6.000,Não,,4,3.57,0,,1,-3,45,3.6,97,34,Não,12
110,7,4,2017,Ate R$3.000,Não,,1,4.64,2,Acidente,29,-17,46,3.1,66,0,Não,0
111,1,9,10557,R$10.000-15.000,Não,,1,5.5,0,,59,38,12,2.7,89,10,Não,12
112,10,9,10940,R$10.000-15.000,Sim,Fim de Contrato,1,2.08,5,Acidente,42,38,56,2.9,71,16,Não,12
113,9,2,7340,R$6.000-10.000,Não,,2,6.36,5,Acidente,36,3,44,2.1,68,12,Não,14
114,4,6,13211,R$10.000-15.000,Não,,2,3.48,0,,34,33,30,3.8,59,10,Não,6
115,7,4,2306,Ate R$3.000,Não,,5,3.18,2,INSS,40,-17,16,2.5,51,34,Não,15
116,5,7,19767,Acima de R$15.000,Não,,5,0.87,15,INSS,16,14,39,3.9,39,29,Não,14
117,5,7,20747,Acima de R$15.000,Não,,3,3.45,15,Licença Médica,48,-10,44,2.9,84,7,Não,2
118,6,8,2983,Ate R$3.000,Não,,4,3.57,0,,33,32,48,3.7,55,0,Não,16
119,6,8,4387,R$3.000-6.000,Não,,1,4.23,0,,18,-6,31,2.6,77,29,Não,30
120,7,9,10414,R$10.000-15.000,Não,,1,1.22,0,,17,7,20,3.2,75,0,Não,10
121,7,9,9265,R$6.000-10.000,Não,,1,2.42,0,,3,0,30,3.6,73,12,Não,4
122,9,7,18519,Acima de R$15.000,Não,,0,6.22,0,,46,20,22,2.9,74,17,Não,4
123,4,6,11939,R$10.000-15.000,Não,,2,1.82,0,,8,36,58,4.7,94,9,Não,20
124,7,4,2435,Ate R$3.000,Sim,Desligamento sem Justa Causa,3,0.57,0,,12,-4,49,2.7,72,27,Não,25
125,3,1,6051,R$6.000-10.000,Não,,5,2.1,15,Licença Médica,58,24,31,2.2,93,3,Não,7
126,7,4,2470,Ate R$3.000,Não,,2,5.11,0,,33,-8,17,3.2,75,39,Não,3
127,10,9,9408,R$6.000-10.000,Não,,1,3.25,15,Acidente,46,40,30,3.4,88,4,Não,5
128,7,5,3062,R$3.000-6.000,Não,,5,-0.22,5,Licença Médica,13,4,27,4.3,79,18,Sim,22
129,7,5,2340,Ate R$3.000,Não,,1,2.83,0,,5,-4,29,3.1,81,23,Não,17
130,8,1,6176,R$6.000-10.000,Não,,4,1.7,0,,36,-18,29,3.6,78,19,Não,20
131,7,9,8427,R$6.000-10.000,Não,,0,3.81,5,Licença Médica,26,37,10,2.4,71,16,Não,21
132,3,3,3351,R$3.000-6.000,Não,,2,0.25,0,,3,-13,50,4.7,59,18,Não,15
133,3,7,19480,Acima de R$15.000,Não,,0,-0.26,15,Licença Médica,26,32,50,3.4,83,5,Não,4
134,6,6,11305,R$10.000-15.000,Sim,Fim de Contrato,1,1.43,2,INSS,20,27,56,2.9,84,35,Não,6
135,7,5,2984,Ate R$3.000,Não,,1,2.24,0,,20,-20,34,2.7,76,35,Não,16
136,1,1,5081,R$3.000-6.000,Não,,4,4.25,15,Licença Médica,38,-18,35,3.1,74,14,Não,3
137,8,7,19240,Acima de R$15.000,Não,,4,3.53,0,,48,4,29,3.4,90,30,Não,3
138,6,9,10354,R$10.000-15.000,Não,,2,2.73,15,Acidente,50,12,59,3.1,67,40,Não,18
139,6,6,13761,R$10.000-15.000,Não,,1,3.46,15,Acidente,38,37,14,3.5,82,27,Não,29
140,2,5,2365,Ate R$3.000,Não,,0,3.45,0,,40,17,29,2.3,76,26,Não,8
141,7,9,7099,R$6.000-10.000,Não,,0,5.99,10,Acidente,46,4,19,3.6,87,14,Não,26
142,6,8,4243,R$3.000-6.000,Sim,Pedido de Demissão,2,0.97,0,,21,6,59,4.2,81,34,Não,19
143,6,6,14751,R$10.000-15.000,Não,,1,2.53,0,,14,12,55,4.2,56,4,Não,10
144,7,9,9551,R$6.000-10.000,Não,,2,2.62,10,Acidente,2,21,26,2.7,85,8,Não,28
145,2,4,2579,Ate R$3.000,Não,,0,4.94,0,,59,13,31,2.8,72,10,Não,25
146,7,5,2913,Ate R$3.000,Não,,3,3.43,0,,60,-9,36,3.0,73,22,Não,24
147,10,9,9876,R$6.000-10.000,Não,,2,1.96,5,INSS,23,-4,21,3.9,65,22,Não,15
148,6,8,3520,R$3.000-6.000,Não,,0,2.84,10,Acidente,8,26,60,2.9,95,35,Não,1
149,2,9,8959,R$6.000-10.000,Não,,3,2.82,10,Acidente,54,-8,57,2.5,68,28,Não,6
150,7,5,2964,Ate R$3.000,Não,,5,3.43,0,,12,1,25,3.3,74,40,Não,18
151,7,5,2759,Ate R$3.000,Não,,1,4.03,15,Acidente,13,-6,37,3.4,66,17,Não,1
152,2,5,3042,R$3.000-6.000,Não,,2,0.68,10,INSS,28,7,40,3.6,84,33,Não,28
153,7,4,2482,Ate R$3.000,Não,,1,3.94,15,INSS,8,10,12,3.7,64,20,Não,25
154,3,3,3099,R$3.000-6.000,Não,,0,2.47,0,,41,30,35,2.1,66,22,Não,17
155,1,3,3667,R$3.000-6.000,Não,,6,5.86,5,Licença Médica,37,-13,10,3.5,67,36,Não,30
156,7,4,1976,Ate R$3.000,Não,,1,3.67,10,Licença Médica,34,27,36,3.9,57,19,Não,11
157,10,9,7165,R$6.000-10.000,Sim,Fim de Contrato,1,2.78,5,Acidente,60,22,44,2.9,82,2,Não,15
158,2,4,2550,Ate R$3.000,Não,,3,3.03,0,,24,28,51,2.9,62,19,Não,5
159,2,9,8205,R$6.000-10.000,Não,,1,3.69,0,,17,-9,31,3.1,76,21,Não,17
160,6,8,3604,R$3.000-6.000,Não,,1,5.5,10,INSS,49,22,31,3.6,100,19,Não,7
161,7,5,3004,R$3.000-6.000,Não,,2,1.28,15,Acidente,19,-1,48,3.7,77,11,Não,16
162,6,9,7782,R$6.000-10.000,Não,,2,4.32,0,,18,19,20,3.5,74,7,Não,28
163,7,5,2575,Ate R$3.000,Não,,2,1.97,0,,48,17,19,2.5,78,39,Não,13
164,10,1,5471,R$3.000-6.000,Não,,5,-0.26,0,,0,-3,22,3.3,47,15,Não,8
165,2,5,2589,Ate R$3.000,Não,,2,2.45,15,Acidente,6,4,22,3.3,75,31,Não,26
166,7,5,2384,Ate R$3.000,Não,,3,2.64,0,,52,-16,34,2.6,72,40,Não,30
167,7,5,3172,R$3.000-6.000,Não,,0,3.5,0,,21,25,17,4.1,67,7,Não,26
168,7,9,9004,R$6.000-10.000,Não,,2,4.49,10,INSS,48,23,40,3.7,91,22,Não,19
169,7,4,2220,Ate R$3.000,Não,,2,2.83,2,Licença Médica,53,37,38,3.5,64,20,Não,20
170,4,1,6731,R$6.000-10.000,Não,,3,5.07,0,,37,37,22,3.3,77,31,Não,16
171,6,6,15567,Acima de R$15.000,Não,,0,1.29,0,,18,-5,21,2.6,59,30,Não,23
172,10,8,3150,R$3.000-6.000,Não,,1,1.52,5,Acidente,33,33,34,3.7,73,1,Não,29
173,1,3,3588,R$3.000-6.000,Não,,0,3.1,2,INSS,48,23,56,3.3,74,22,Não,3
174,2,4,2448,Ate R$3.000,Não,,0,4.98,0,,21,27,11,3.5,66,0,Não,7
175,7,5,2787,Ate R$3.000,Não,,1,1.34,10,INSS,43,21,51,3.5,64,20,Não,14
176,4,1,6913,R$6.000-10.000,Não,,3,3.88,0,,15,39,15,3.1,64,4,Não,21
177,7,9,9950,R$6.000-10.000,Não,,2,2.62,0,,25,-2,29,3.5,88,35,Não,2
178,2,4,2086,Ate R$3.000,Não,,1,1.64,5,INSS,6,-19,40,3.3,78,2,Não,21
179,10,9,8220,R$6.000-10.000,Sim,Fim de Contrato,2,3.34,15,INSS,8,35,55,3.1,95,3,Não,28
180,1,1,5716,R$3.000-6.000,Não,,1,1.56,0,,57,39,21,3.1,66,22,Não,13
181,6,8,4409,R$3.000-6.000,Não,,0,2.8,15,Acidente,8,20,34,2.7,79,13,Não,2
182,2,5,2461,Ate R$3.000,Não,,3,2.92,0,,10,5,36,3.2,90,26,Não,14
183,7,9,7089,R$6.000-10.000,Não,,1,3.04,10,Acidente,54,-5,23,3.1,62,9,Não,6
184,7,4,2063,Ate R$3.000,Não,,3,4.39,5,INSS,2,22,38,3.4,83,35,Não,21
185,10,9,9685,R$6.000-10.000,Não,,1,3.63,15,Licença Médica,38,-12,51,2.7,81,30,Não,6
186,7,5,2343,Ate R$3.000,Não,,1,4.4,5,INSS,34,0,13,3.4,52,6,Não,25
187,2,9,7194,R$6.000-10.000,Não,,3,3.13,2,Acidente,10,4,41,3.0,71,9,Não,27
188,1,3,3896,R$3.000-6.000,Não,,1,1.83,5,INSS,40,39,11,3.6,89,0,Não,18
189,2,5,3109,R$3.000-6.000,Não,,6,2.5,5,Licença Médica,30,24,45,4.0,75,19,Não,17
190,2,9,9364,R$6.000-10.000,Não,,3,3.28,10,Acidente,15,31,32,2.7,72,39,Não,26
191,7,9,10861,R$10.000-15.000,Não,,2,3.7,10,Acidente,30,11,20,2.1,100,38,Não,14
192,9,7,20744,Acima de R$15.000,Não,,5,0.48,0,,25,24,52,3.1,74,12,Não,12
193,7,5,2219,Ate R$3.000,Não,,1,4.79,2,INSS,46,-10,35,3.3,63,26,Não,10
194,7,9,7266,R$6.000-10.000,Não,,3,1.16,0,,5,32,33,2.8,90,15,Não,24
195,9,1,5246,R$3.000-6.000,Não,,2,3.98,15,INSS,56,9,37,3.2,73,16,Não,2
196,2,5,2368,Ate R$3.000,Não,,0,1.31,10,INSS,44,6,42,2.3,60,0,Não,11
197,10,1,5806,R$3.000-6.000,Não,,4,4.7,0,,3,18,57,4.2,68,25,Não,15
198,2,5,2300,Ate R$3.000,Não,,1,0.66,5,Licença Médica,10,-9,39,2.8,65,26,Não,6
199,5,1,6911,R$6.000-10.000,Não,,3,2.12,2,Acidente,28,23,15,3.0,58,24,Não,22
200,2,9,10322,R$10.000-15.000,Não,,1,5.73,15,Licença Médica,30,7,38,3.8,81,14,Não,2
201,7,9,9381,R$6.000-10.000,Não,,0,0.08,2,Acidente,28,20,31,3.1,100,23,Não,16
202,6,8,2970,Ate R$3.000,Não,,1,1.91,2,Licença Médica,15,7,27,3.9,83,27,Não,18
203,10,9,8089,R$6.000-10.000,Não,,4,3.17,15,INSS,31,18,35,3.5,72,13,Não,21
204,6,8,3209,R$3.000-6.000,Não,,3,2.68,2,Acidente,42,7,57,3.8,80,34,Não,27
205,5,7,18375,Acima de R$15.000,Não,,1,1.72,0,,54,2,36,4.2,62,17,Não,23
206,6,6,14731,R$10.000-15.000,Não,,2,3.69,5,Licença Médica,49,-15,20,3.0,84,37,Não,5
207,7,5,3195,R$3.000-6.000,Não,,2,1.93,0,,2,2,28,2.7,89,24,Não,15
208,7,4,1947,Ate R$3.000,Não,,2,2.14,0,,18,40,18,3.1,58,30,Não,14
209,10,8,4189,R$3.000-6.000,Não,,1,5.6,0,,25,15,22,2.4,87,11,Não,4
210,7,4,2333,Ate R$3.000,Não,,4,2.6,15,Licença Médica,1,14,27,3.6,58,10,Não,21
211,10,8,4290,R$3.000-6.000,Não,,0,3.95,0,,58,26,49,2.9,87,7,Não,17
212,10,9,10454,R$10.000-15.000,Não,,1,2.79,15,INSS,44,5,57,3.4,73,20,Não,21
213,6,9,7378,R$6.000-10.000,Não,,2,3.5,0,,50,2,50,3.3,85,10,Não,9
214,2,5,2516,Ate R$3.000,Não,,0,6.18,5,Acidente,36,29,23,3.4,83,14,Não,14
215,9,7,21848,Acima de R$15.000,Não,,1,2.7,0,,54,-3,16,2.5,91,28,Não,22
216,2,4,2524,Ate R$3.000,Não,,4,2.69,5,Licença Médica,13,-16,29,3.1,81,15,Não,18
217,7,4,2115,Ate R$3.000,Não,,2,4.02,10,INSS,56,34,45,2.5,71,5,Não,29
218,7,9,10253,R$10.000-15.000,Não,,4,2.64,5,Licença Médica,23,-20,13,3.0,81,28,Não,20
219,2,4,2025,Ate R$3.000,Não,,1,0.76,0,,11,34,26,3.5,60,37,Não,13
220,6,6,11060,R$10.000-15.000,Não,,2,1.52,0,,21,38,32,3.9,59,6,Não,11
221,2,9,9847,R$6.000-10.000,Não,,2,4.59,0,,44,12,32,1.8,64,22,Não,25
222,7,9,7805,R$6.000-10.000,Não,,1,3.92,0,,25,13,42,3.9,97,40,Não,8
223,1,9,10168,R$10.000-15.000,Não,,3,1.5,15,INSS,30,6,37,2.6,86,16,Não,13
224,2,5,2626,Ate R$3.000,Não,,1,0.07,2,INSS,35,3,46,3.5,88,1,Não,24
225,7,4,1913,Ate R$3.000,Não,,3,3.33,15,Licença Médica,16,-6,36,2.9,87,14,Não,27
226,7,9,11000,R$10.000-15.000,Não,,5,0.62,0,,25,15,25,2.8,73,23,Não,28
227,6,8,4157,R$3.000-6.000,Não,,4,2.11,15,INSS,9,9,58,3.1,71,11,Não,25
228,2,4,2495,Ate R$3.000,Sim,Desligamento sem Justa Causa,3,3.26,0,,33,23,55,4.5,60,5,Não,12
229,1,1,4642,R$3.000-6.000,Não,,2,4.15,15,Acidente,51,-4,35,3.8,70,20,Não,7
230,10,9,10806,R$10.000-15.000,Não,,1,1.71,0,,23,1,13,4.0,76,17,Não,4
231,7,4,2111,Ate R$3.000,Não,,4,2.85,15,Licença Médica,5,9,48,2.8,79,19,Não,23
232,10,8,4071,R$3.000-6.000,Não,,3,3.42,0,,37,-9,57,3.3,77,26,Não,9
233,2,5,2886,Ate R$3.000,Não,,2,4.57,10,Acidente,25,3,17,3.2,96,29,Não,11
234,7,9,8274,R$6.000-10.000,Não,,0,2.56,5,Licença Médica,10,-13,27,4.1,85,4,Não,25
235,2,4,2538,Ate R$3.000,Não,,0,2.3,2,INSS,2,19,18,4.2,95,31,Não,14
236,3,3,3509,R$3.000-6.000,Não,,0,2.56,0,,51,8,30,3.3,78,26,Não,6
237,7,9,7098,R$6.000-10.000,Não,,4,2.48,5,INSS,29,12,16,4.1,76,40,Não,7
238,1,9,8443,R$6.000-10.000,Não,,3,2.95,10,Acidente,56,-7,13,2.4,85,28,Não,8
239,7,5,3118,R$3.000-6.000,Não,,1,2.31,0,,41,3,49,2.3,84,30,Não,14
240,10,9,7706,R$6.000-10.000,Não,,1,4.11,15,Licença Médica,54,34,30,3.3,73,3,Não,30
241,3,1,4518,R$3.000-6.000,Não,,2,2.71,5,Licença Médica,52,-11,41,2.1,67,40,Não,12
242,7,5,2344,Ate R$3.000,Não,,2,4.84,0,,37,15,59,2.6,79,32,Não,12
243,6,8,3782,R$3.000-6.000,Não,,1,1.35,0,,42,26,15,4.7,56,28,Não,18
244,2,4,2396,Ate R$3.000,Não,,1,2.41,15,Licença Médica,41,21,51,3.2,72,19,Não,8
245,7,9,10780,R$10.000-15.000,Não,,1,2.22,10,Acidente,35,-16,27,3.6,85,18,Não,11
246,7,5,2721,Ate R$3.000,Não,,3,3.06,0,,34,-3,48,3.1,63,28,Não,17
247,3,1,5921,R$3.000-6.000,Não,,2,2.19,15,Licença Médica,33,1,40,3.1,79,22,Não,15
248,6,9,8131,R$6.000-10.000,Não,,2,0.58,2,INSS,14,34,43,2.7,94,5,Não,17
249,2,5,2430,Ate R$3.000,Não,,1,4.58,0,,43,-8,28,3.5,56,20,Não,23
250,3,7,18164,Acima de R$15.000,Não,,0,-0.12,0,,2,20,11,3.2,55,12,Não,19
251,7,9,9740,R$6.000-10.000,Não,,2,3.82,0,,21,14,12,3.0,88,4,Não,25
